episode,timestamp,epsilon,win_rate,loss_rate,draw_rate,avg_reward,avg_moves,q_table_size
41400,2026-01-15T21:40:51.971075,0.01,85.0048309178744,8.130434782608695,6.8647342995169085,0.85,6.6,2419.0
41500,2026-01-15T21:40:51.991598,0.01,85.02168674698795,8.120481927710843,6.857831325301205,0.88,6.71,2419.0
41600,2026-01-15T21:40:52.012092,0.01,85.02884615384615,8.115384615384617,6.855769230769231,0.82,6.56,2419.0
41700,2026-01-15T21:40:52.032062,0.01,85.04076738609113,8.107913669064748,6.851318944844125,0.85,6.41,2419.0
41800,2026-01-15T21:40:52.053647,0.01,85.04066985645933,8.105263157894736,6.854066985645933,0.78,6.6,2420.0
41900,2026-01-15T21:40:52.075479,0.01,85.04057279236277,8.102625298329356,6.856801909307876,0.78,6.62,2422.0
42000,2026-01-15T21:40:52.096897,0.01,85.04285714285714,8.09047619047619,6.866666666666667,0.83,6.76,2423.0
42100,2026-01-15T21:40:52.118571,0.01,85.04275534441805,8.090261282660332,6.866983372921615,0.77,6.57,2423.0
42200,2026-01-15T21:40:52.140678,0.01,85.04502369668246,8.085308056872039,6.869668246445497,0.8,6.71,2423.0
42300,2026-01-15T21:40:52.160644,0.01,85.05200945626477,8.08274231678487,6.865248226950355,0.81,6.62,2424.0
42400,2026-01-15T21:40:52.180966,0.01,85.06367924528303,8.075471698113207,6.860849056603774,0.85,6.52,2424.0
42500,2026-01-15T21:40:52.201808,0.01,85.06588235294117,8.075294117647058,6.858823529411764,0.78,6.73,2427.0
42600,2026-01-15T21:40:52.221940,0.01,85.08215962441315,8.068075117370892,6.849765258215962,0.87,6.31,2427.0
42700,2026-01-15T21:40:52.243031,0.01,85.08665105386417,8.053864168618267,6.859484777517564,0.85,6.69,2427.0
42800,2026-01-15T21:40:52.263215,0.01,85.08878504672897,8.051401869158878,6.85981308411215,0.79,6.58,2427.0
42900,2026-01-15T21:40:52.283803,0.01,85.09790209790211,8.041958041958042,6.860139860139861,0.85,6.63,2429.0
43000,2026-01-15T21:40:52.303984,0.01,85.10232558139535,8.037209302325582,6.86046511627907,0.81,6.53,2433.0
43100,2026-01-15T21:40:52.324992,0.01,85.1090487238979,8.02784222737819,6.8631090487238975,0.84,6.65,2433.0
43200,2026-01-15T21:40:52.345382,0.01,85.11342592592592,8.027777777777779,6.858796296296296,0.79,6.36,2433.0
43300,2026-01-15T21:40:52.366720,0.01,85.10854503464203,8.02771362586605,6.863741339491917,0.75,6.68,2434.0
43400,2026-01-15T21:40:52.387875,0.01,85.10599078341014,8.02073732718894,6.873271889400921,0.79,6.56,2437.0
43500,2026-01-15T21:40:52.408444,0.01,85.11724137931034,8.0183908045977,6.864367816091955,0.83,6.31,2437.0
43600,2026-01-15T21:40:52.429841,0.01,85.11467889908258,8.020642201834862,6.864678899082569,0.75,6.73,2437.0
43700,2026-01-15T21:40:52.451483,0.01,85.12356979405034,8.018306636155605,6.85812356979405,0.82,6.53,2438.0
43800,2026-01-15T21:40:52.472491,0.01,85.13698630136986,8.013698630136986,6.8493150684931505,0.85,6.49,2439.0
43900,2026-01-15T21:40:52.493766,0.01,85.13895216400911,8.009111617312072,6.851936218678816,0.8,6.4,2439.0
44000,2026-01-15T21:40:52.514314,0.01,85.15227272727273,8.002272727272727,6.845454545454545,0.86,6.54,2440.0
44100,2026-01-15T21:40:52.534845,0.01,85.15419501133786,7.997732426303855,6.848072562358276,0.8,6.64,2444.0
44200,2026-01-15T21:40:52.555893,0.01,85.15384615384616,7.997737556561085,6.84841628959276,0.77,6.67,2444.0
44300,2026-01-15T21:40:52.576643,0.01,85.16027088036118,7.993227990970654,6.846501128668171,0.82,6.66,2446.0
44400,2026-01-15T21:40:52.598087,0.01,85.15765765765767,7.995495495495495,6.846846846846846,0.75,6.84,2447.0
44500,2026-01-15T21:40:52.619241,0.01,85.16629213483145,7.986516853932585,6.847191011235955,0.85,6.22,2447.0
44600,2026-01-15T21:40:52.639469,0.01,85.17040358744394,7.982062780269058,6.847533632286995,0.81,6.71,2447.0
